"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d004997_T001",8,"Zm00001d004997_T001","Ubiquinol-cytochrome c reductase complex 8.0 kDa protein  ","Other","Zm00001d004997"
"Zm00001d044442_T028",8,"Zm00001d044442_T028","ABC transporter G family member 40",NA,"Zm00001d044442"
"Zm00001d020432_T001",8,"Zm00001d020432_T001","Transcription initiation factor TFIID subunit 2","Other","Zm00001d020432"
"Zm00001d013964_T001",8,"Zm00001d013964_T001","ALG2-interacting protein X  ","Other","Zm00001d013964"
"Zm00001d044273_T001",8,"Zm00001d044273_T001","DENN domain and WD repeat-containing protein SCD1",NA,"Zm00001d044273"
"Zm00001d031429_T004",8,"Zm00001d031429_T004","pfkB-like carbohydrate kinase family protein",NA,"Zm00001d031429"
"Zm00001d015329_T006",8,"Zm00001d015329_T006","FAD/NAD(P)-binding oxidoreductase family protein","Other","Zm00001d015329"
"Zm00001d044468_T002",8,"Zm00001d044468_T002","maternal effect embryo arrest 18","Other","Zm00001d044468"
"Zm00001d024048_T002",8,"Zm00001d024048_T002","Argininosuccinate synthase chloroplastic","Other","Zm00001d024048"
"Zm00001d042584_T001",8,"Zm00001d042584_T001"," diphosphocytidyl methyl erythritol synthase1","Other","Zm00001d042584"
"Zm00001d050150_T002",8,"Zm00001d050150_T002","Adenylate kinase 5 chloroplastic",NA,"Zm00001d050150"
"Zm00001d031945_T001",8,"Zm00001d031945_T001","Thioredoxin family protein","Other","Zm00001d031945"
"Zm00001d050150_T001",8,"Zm00001d050150_T001","Adenylate kinase 5 chloroplastic","Other","Zm00001d050150"
"Zm00001d005114_T001",8,"Zm00001d005114_T001","Cytochrome b-c1 complex subunit 7-2","Other","Zm00001d005114"
"Zm00001d052314_T049",8,"Zm00001d052314_T049","Ubiquitin-activating enzyme E1 2",NA,"Zm00001d052314"
"Zm00001d022274_T001",8,"Zm00001d022274_T001"," pyruvate orthophosphate dikinase4","Other","Zm00001d022274"
"Zm00001d018859_T026",8,"Zm00001d018859_T026","Ubiquitin carboxyl-terminal hydrolase 13",NA,"Zm00001d018859"
"Zm00001d044315_T012",8,"Zm00001d044315_T012","SNF1-related protein kinase regulatory subunit gamma-1-like","Other","Zm00001d044315"
"Zm00001d020623_T001",8,"Zm00001d020623_T001","Copper transporter 5","Other","Zm00001d020623"
"Zm00001d026610_T001",8,"Zm00001d026610_T001","Dihydroorotate dehydrogenase  ","Other","Zm00001d026610"
"Zm00001d043098_T001",8,"Zm00001d043098_T001","Cytochrome b5 reductase  ","Other","Zm00001d043098"
"Zm00001d024241_T001",8,"Zm00001d024241_T001","protein_coding","Other","Zm00001d024241"
"Zm00001d048204_T001",8,"Zm00001d048204_T001","NADH-ubiquinone oxidoreductase B16.6 subunit  ","Other","Zm00001d048204"
"Zm00001d023978_T001",8,"Zm00001d023978_T001","Cytochrome b5 isoform B","Other","Zm00001d023978"
"Zm00001d046456_T001",8,"Zm00001d046456_T001","3-hydroxyisobutyryl-CoA hydrolase-like protein 3 mitochondrial","Other","Zm00001d046456"
"Zm00001d014808_T001",8,"Zm00001d014808_T001","Protein FREE1","Other","Zm00001d014808"
"Zm00001d039644_T001",8,"Zm00001d039644_T001","Cytokinin-O-glucosyltransferase 1","Other","Zm00001d039644"
"Zm00001d008387_T001",8,"Zm00001d008387_T001"," ribosomal protein S5","Other","Zm00001d008387"
"Zm00001d033038_T001",8,"Zm00001d033038_T001","Stress enhanced protein 1 chloroplastic","Other","Zm00001d033038"
"Zm00001d024413_T001",8,"Zm00001d024413_T001","(DL)-glycerol-3-phosphatase 2","Other","Zm00001d024413"
"Zm00001d018565_T001",8,"Zm00001d018565_T001"," tie-dyed2","Other","Zm00001d018565"
"Zm00001d023376_T002",8,"Zm00001d023376_T002"," aluminum-induced protein homolog1","Other","Zm00001d023376"
"Zm00001d048181_T002",8,"Zm00001d048181_T002","Chloroplast 30S ribosomal protein S10  ","PhANGs","Zm00001d048181"
"Zm00001d042620_T001",8,"Zm00001d042620_T001","NAD(P)H-quinone oxidoreductase subunit N chloroplastic","Other","Zm00001d042620"
"Zm00001d021061_T001",8,"Zm00001d021061_T001","60S ribosomal protein L7a-1","Cytosolic ribosome","Zm00001d021061"
"Zm00001d034550_T001",8,"Zm00001d034550_T001","40S ribosomal protein S2-1","Cytosolic ribosome","Zm00001d034550"
"Zm00001d044648_T005",8,"Zm00001d044648_T005","Alpha-L-arabinofuranosidase 1","Other","Zm00001d044648"
"Zm00001d053727_T001",8,"Zm00001d053727_T001","Pyrophosphate-energized vacuolar membrane proton pump 1","Other","Zm00001d053727"
"Zm00001d028647_T001",8,"Zm00001d028647_T001","Glyoxalase family protein superfamily  ","Other","Zm00001d028647"
"Zm00001d017379_T001",8,"Zm00001d017379_T001","Thioredoxin M1 chloroplastic","Other","Zm00001d017379"
"Zm00001d052075_T001",8,"Zm00001d052075_T001","60S ribosomal protein L35a-2","Cytosolic ribosome","Zm00001d052075"
"Zm00001d028880_T001",8,"Zm00001d028880_T001","Calvin cycle protein CP12-2 chloroplastic","Other","Zm00001d028880"
"Zm00001d034644_T001",8,"Zm00001d034644_T001"," actin depolymerizing factor3","Other","Zm00001d034644"
"Zm00001d023830_T001",8,"Zm00001d023830_T001","Fiber protein Fb19  ","Other","Zm00001d023830"
"Zm00001d015138_T002",8,"Zm00001d015138_T002","protein_coding","Other","Zm00001d015138"
"Zm00001d013336_T002",8,"Zm00001d013336_T002","Zinc finger BED domain-containing protein DAYSLEEPER","Other","Zm00001d013336"
"Zm00001d050925_T007",8,"Zm00001d050925_T007","Protein kinase superfamily protein",NA,"Zm00001d050925"
"Zm00001d002141_T013",8,"Zm00001d002141_T013","UBP1-associated protein 2A",NA,"Zm00001d002141"
"Zm00001d039090_T002",8,"Zm00001d039090_T002","GTP-binding nuclear protein Ran-2","Other","Zm00001d039090"
"Zm00001d042044_T002",8,"Zm00001d042044_T002","Cell division protein FtsY homolog chloroplastic","Other","Zm00001d042044"
"Zm00001d003281_T001",8,"Zm00001d003281_T001","Cellulase (glycosyl hydrolase family 5) protein","Other","Zm00001d003281"
"Zm00001d010220_T001",8,"Zm00001d010220_T001","40S ribosomal protein S12  ","Cytosolic ribosome","Zm00001d010220"
"Zm00001d025723_T001",8,"Zm00001d025723_T001","Glucose-1-phosphate adenylyltransferase small subunit chloroplastic","Other","Zm00001d025723"
"Zm00001d046600_T001",8,"Zm00001d046600_T001","Proteasome subunit beta type  ","Other","Zm00001d046600"
"Zm00001d006213_T001",8,"Zm00001d006213_T001","Probable histone H2A.4","Other","Zm00001d006213"
"Zm00001d028960_T001",8,"Zm00001d028960_T001","Expressed protein;  protein","Other","Zm00001d028960"
"Zm00001d006409_T002",8,"Zm00001d006409_T002","RanBP2-type zinc finger protein ",NA,"Zm00001d006409"
"Zm00001d032968_T003",8,"Zm00001d032968_T003","Tetrapyrrole (Corrin/Porphyrin) Methylases",NA,"Zm00001d032968"
"Zm00001d003081_T003",8,"Zm00001d003081_T003"," glutaredoxin homolog1","Other","Zm00001d003081"
"Zm00001d033682_T001",8,"Zm00001d033682_T001","Toc64  ","Other","Zm00001d033682"
"Zm00001d018495_T003",8,"Zm00001d018495_T003","Thioredoxin-like 3-2 chloroplastic",NA,"Zm00001d018495"
"Zm00001d038764_T001",8,"Zm00001d038764_T001","UDP-glycosyltransferase 88A1","Other","Zm00001d038764"
"Zm00001d019343_T001",8,"Zm00001d019343_T001","Histone acetyltransferase HPA2 and related acetyltransferases  ","Other","Zm00001d019343"
"Zm00001d038859_T007",8,"Zm00001d038859_T007","Phosphoribosylamine--glycine ligase chloroplastic",NA,"Zm00001d038859"
"Zm00001d031013_T003",8,"Zm00001d031013_T003","Methylcrotonoyl-CoA carboxylase subunit alpha  ",NA,"Zm00001d031013"
"Zm00001d047067_T002",8,"Zm00001d047067_T002","chloroplast chaperonin 10","Other","Zm00001d047067"
"Zm00001d045784_T001",8,"Zm00001d045784_T001","RPM1-interacting protein 4 (RIN4) family protein","Other","Zm00001d045784"
"Zm00001d049297_T001",8,"Zm00001d049297_T001","Chromophore lyase CRL chloroplastic",NA,"Zm00001d049297"
"Zm00001d030040_T001",8,"Zm00001d030040_T001","nonsense-mediated mRNA decay NMD3 family protein","Other","Zm00001d030040"
"Zm00001d002373_T002",8,"Zm00001d002373_T002","26S proteasome non-ATPase regulatory subunit 1 homolog B","Other","Zm00001d002373"
"Zm00001d028971_T003",8,"Zm00001d028971_T003","Mitochondrial import receptor subunit TOM40-1",NA,"Zm00001d028971"
"Zm00001d036001_T003",8,"Zm00001d036001_T003","Peroxisomal membrane protein 11C",NA,"Zm00001d036001"
"Zm00001d013336_T001",8,"Zm00001d013336_T001","Zinc finger BED domain-containing protein DAYSLEEPER","Other","Zm00001d013336"
"Zm00001d043312_T002",8,"Zm00001d043312_T002","Ubiquitin carboxyl-terminal hydrolase 13",NA,"Zm00001d043312"
"Zm00001d026608_T001",8,"Zm00001d026608_T001","Putative thioredoxin superfamily protein%3B Thioredoxin X  ","Other","Zm00001d026608"
"Zm00001d044153_T001",8,"Zm00001d044153_T001"," cytochrome P450 10",NA,"Zm00001d044153"
"Zm00001d030381_T001",8,"Zm00001d030381_T001","Deoxyribodipyrimidine photo-lyase","Other","Zm00001d030381"
"Zm00001d002316_T001",8,"Zm00001d002316_T001"," argonaute2a","Other","Zm00001d002316"
"Zm00001d035915_T001",8,"Zm00001d035915_T001","Proteasome subunit beta type  ","Other","Zm00001d035915"
"Zm00001d004993_T001",8,"Zm00001d004993_T001","RNA binding (RRM/RBD/RNP motifs) family protein",NA,"Zm00001d004993"
"Zm00001d034740_T001",8,"Zm00001d034740_T001","soluble epoxide hydrolase","Other","Zm00001d034740"
"Zm00001d004440_T001",8,"Zm00001d004440_T001","Root phototropism protein 3","Other","Zm00001d004440"
"Zm00001d001856_T009",8,"Zm00001d001856_T009","Anamorsin homolog",NA,"Zm00001d001856"
"Zm00001d025210_T001",8,"Zm00001d025210_T001","Vacuolar protein-sorting-associated protein 11 homolog","Other","Zm00001d025210"
"Zm00001d047078_T004",8,"Zm00001d047078_T004","Putative metacaspase family protein  ",NA,"Zm00001d047078"
"Zm00001d020087_T001",8,"Zm00001d020087_T001"," NUDIX domain hydrolase1","Other","Zm00001d020087"
"Zm00001d019123_T003",8,"Zm00001d019123_T003","Survival protein SurE-like phosphatase/nucleotidase",NA,"Zm00001d019123"
"Zm00001d003254_T004",8,"Zm00001d003254_T004","Plant UBX domain-containing protein 1",NA,"Zm00001d003254"
"Zm00001d047769_T001",8,"Zm00001d047769_T001"," calcium pump3","Other","Zm00001d047769"
"Zm00001d044382_T001",8,"Zm00001d044382_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d044382"
"Zm00001d052336_T001",8,"Zm00001d052336_T001","Peroxidase 67","Other","Zm00001d052336"
"Zm00001d018657_T001",8,"Zm00001d018657_T001","PHD finger family protein",NA,"Zm00001d018657"
"Zm00001d040034_T001",8,"Zm00001d040034_T001","Multicopper oxidase LPR2","Other","Zm00001d040034"
"Zm00001d022043_T001",8,"Zm00001d022043_T001","Saccharopine dehydrogenase  ","Other","Zm00001d022043"
"Zm00001d014112_T001",8,"Zm00001d014112_T001","Actin-related protein 7","Other","Zm00001d014112"
"Zm00001d036540_T001",8,"Zm00001d036540_T001","mRNA-decapping enzyme subunit 2","Other","Zm00001d036540"
"Zm00001d029716_T001",8,"Zm00001d029716_T001","Heavy metal transport/detoxification superfamily protein","Other","Zm00001d029716"
"Zm00001d048546_T046",8,"Zm00001d048546_T046","transcription regulators",NA,"Zm00001d048546"
"Zm00001d032734_T001",8,"Zm00001d032734_T001","no pollen germination related 2","Other","Zm00001d032734"
"Zm00001d016659_T001",8,"Zm00001d016659_T001","Acetyl-coenzyme A synthetase chloroplastic/glyoxysomal","Other","Zm00001d016659"
"Zm00001d014658_T001",8,"Zm00001d014658_T001","Mitogen-activated protein kinase 1",NA,"Zm00001d014658"
"Zm00001d053891_T001",8,"Zm00001d053891_T001","ILITYHIA","Other","Zm00001d053891"
"Zm00001d050816_T002",8,"Zm00001d050816_T002","PHD finger protein  ","Other","Zm00001d050816"
"Zm00001d031540_T001",8,"Zm00001d031540_T001","Pyridoxamine 5'-phosphate oxidase family protein","Other","Zm00001d031540"
"Zm00001d048382_T001",8,"Zm00001d048382_T001","60S ribosomal protein L21-1","Cytosolic ribosome","Zm00001d048382"
"Zm00001d008320_T004",8,"Zm00001d008320_T004","phosphoadenosine phosphosulfate (PAPS) reductase family protein","Other","Zm00001d008320"
"Zm00001d014775_T002",8,"Zm00001d014775_T002","P-loop containing nucleoside triphosphate hydrolases superfamily protein",NA,"Zm00001d014775"
"Zm00001d014065_T001",8,"Zm00001d014065_T001"," eucaryotic initiation factor7","Other","Zm00001d014065"
"Zm00001d007800_T001",8,"Zm00001d007800_T001","Thioredoxin  ","Other","Zm00001d007800"
"Zm00001d040612_T016",8,"Zm00001d040612_T016","FAM91A1-like protein",NA,"Zm00001d040612"
"Zm00001d021815_T001",8,"Zm00001d021815_T001"," elongation initiation factor2","Other","Zm00001d021815"
"Zm00001d000345_T001",8,"Zm00001d000345_T001","protein_coding","Other","Zm00001d000345"
"Zm00001d020688_T001",8,"Zm00001d020688_T001","GLABROUS1 enhancer-binding protein-like","Other","Zm00001d020688"
"Zm00001d041884_T002",8,"Zm00001d041884_T002","Ssu72-like family protein","Other","Zm00001d041884"
"Zm00001d023640_T009",8,"Zm00001d023640_T009","Ubiquitin carboxyl-terminal hydrolase 13","Other","Zm00001d023640"
"Zm00001d052471_T001",8,"Zm00001d052471_T001","Protein STRICTOSIDINE SYNTHASE-LIKE 2","Other","Zm00001d052471"
"Zm00001d045322_T001",8,"Zm00001d045322_T001","Ubiquinone biosynthesis O-methyltransferase mitochondrial","Other","Zm00001d045322"
"Zm00001d020659_T001",8,"Zm00001d020659_T001","Expressed protein","Other","Zm00001d020659"
"Zm00001d021577_T001",8,"Zm00001d021577_T001","UDP-glycosyltransferase 71B1","Other","Zm00001d021577"
"Zm00001d006204_T001",8,"Zm00001d006204_T001","protein_coding","Other","Zm00001d006204"
"Zm00001d035960_T003",8,"Zm00001d035960_T003","DNA-directed RNA polymerase III subunit 2",NA,"Zm00001d035960"
"Zm00001d011272_T002",8,"Zm00001d011272_T002","CASC3/Barentsz eIF4AIII binding",NA,"Zm00001d011272"
"Zm00001d003373_T002",8,"Zm00001d003373_T002","protein_coding","Other","Zm00001d003373"
"Zm00001d033954_T002",8,"Zm00001d033954_T002","CwfJ-like family protein",NA,"Zm00001d033954"
"Zm00001d047203_T002",8,"Zm00001d047203_T002","protein_coding",NA,"Zm00001d047203"
"Zm00001d013935_T001",8,"Zm00001d013935_T001","WAPL (Wings apart-like protein regulation of heterochromatin) protein","Other","Zm00001d013935"
"Zm00001d049798_T001",8,"Zm00001d049798_T001","protein_coding","Other","Zm00001d049798"
"Zm00001d026195_T002",8,"Zm00001d026195_T002","Transducin family protein / WD-40 repeat family protein",NA,"Zm00001d026195"
"Zm00001d022557_T001",8,"Zm00001d022557_T001"," nicotianamine synthase5","Other","Zm00001d022557"
"Zm00001d045384_T003",8,"Zm00001d045384_T003","Superoxide dismutase [Fe] 3 chloroplastic",NA,"Zm00001d045384"
"Zm00001d026584_T004",8,"Zm00001d026584_T004","Adenylate kinase 1 chloroplastic","Other","Zm00001d026584"
"Zm00001d024333_T003",8,"Zm00001d024333_T003","Mitochondrial pyruvate carrier 4","Other","Zm00001d024333"
"Zm00001d025772_T001",8,"Zm00001d025772_T001","ATP synthase E chain","Other","Zm00001d025772"
"Zm00001d025542_T002",8,"Zm00001d025542_T002","Gamma-glutamylcyclotransferase 2-3","Other","Zm00001d025542"
"Zm00001d048410_T001",8,"Zm00001d048410_T001","Ras-related protein RABF1","Other","Zm00001d048410"
"Zm00001d004559_T021",8,"Zm00001d004559_T021","Leucine-rich repeat protein kinase family protein",NA,"Zm00001d004559"
"Zm00001d032156_T003",8,"Zm00001d032156_T003","Omega-6 fatty acid desaturase chloroplastic","Other","Zm00001d032156"
"Zm00001d013252_T001",8,"Zm00001d013252_T001","60S ribosomal protein L13a-1","Cytosolic ribosome","Zm00001d013252"
"Zm00001d043912_T002",8,"Zm00001d043912_T002","Adenine nucleotide alpha hydrolases-like superfamily protein",NA,"Zm00001d043912"
"Zm00001d011177_T001",8,"Zm00001d011177_T001","Vacuolar protein-sorting protein 33  ","Other","Zm00001d011177"
"Zm00001d053695_T001",8,"Zm00001d053695_T001","Protein kinase%3B Putative lysM-domain receptor-like protein kinase family protein  ","Other","Zm00001d053695"
"Zm00001d046654_T002",8,"Zm00001d046654_T002","Plant UBX domain-containing protein 4","Other","Zm00001d046654"
"Zm00001d008244_T002",8,"Zm00001d008244_T002","Isocitrate dehydrogenase [NAD] catalytic subunit 5 mitochondrial","Other","Zm00001d008244"
"Zm00001d053813_T005",8,"Zm00001d053813_T005","Cullin-associated NEDD8-dissociated protein 1",NA,"Zm00001d053813"
"Zm00001d032333_T004",8,"Zm00001d032333_T004","Phosphoglucan phosphatase LSF1 chloroplastic","Other","Zm00001d032333"
"Zm00001d054006_T001",8,"Zm00001d054006_T001","protein_coding","Other","Zm00001d054006"
"Zm00001d038608_T001",8,"Zm00001d038608_T001","21.7 kDa class VI heat shock protein","Other","Zm00001d038608"
"Zm00001d044495_T001",8,"Zm00001d044495_T001"," senescence enhanced2b","Other","Zm00001d044495"
"Zm00001d043376_T001",8,"Zm00001d043376_T001","Long-chain-fatty-acid-CoA ligase-like protein  ",NA,"Zm00001d043376"
"Zm00001d046047_T012",8,"Zm00001d046047_T012","Transducin/WD40 repeat-like superfamily protein",NA,"Zm00001d046047"
"Zm00001d047920_T002",8,"Zm00001d047920_T002","ATP-dependent Clp protease ATP-binding subunit CLPT1 chloroplastic",NA,"Zm00001d047920"
"Zm00001d027624_T001",8,"Zm00001d027624_T001","protein_coding","Other","Zm00001d027624"
"Zm00001d040920_T001",8,"Zm00001d040920_T001","tRNA (guanine(37)-N1)-methyltransferase 2","Other","Zm00001d040920"
"Zm00001d051695_T001",8,"Zm00001d051695_T001","Aspartyl protease AED1","Other","Zm00001d051695"
"Zm00001d005158_T001",8,"Zm00001d005158_T001","CASP-like protein 3  ","Other","Zm00001d005158"
"Zm00001d035881_T001",8,"Zm00001d035881_T001","Phytoene synthase  ","Other","Zm00001d035881"
"Zm00001d002969_T001",8,"Zm00001d002969_T001","ATP-dependent Clp protease proteolytic subunit 2 mitochondrial","Other","Zm00001d002969"
"Zm00001d015366_T001",8,"Zm00001d015366_T001","Porphobilinogen deaminase chloroplastic","Other","Zm00001d015366"
"Zm00001d002358_T001",8,"Zm00001d002358_T001"," necrotic4","Other","Zm00001d002358"
"Zm00001d000270_T010",8,"Zm00001d000270_T010","DNA-directed RNA polymerase subunit beta","Other","Zm00001d000270"
"Zm00001d004716_T004",8,"Zm00001d004716_T004","NAD kinase 2 chloroplastic",NA,"Zm00001d004716"
"Zm00001d006128_T002",8,"Zm00001d006128_T002","3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3","Other","Zm00001d006128"
"Zm00001d045897_T003",8,"Zm00001d045897_T003","UPF0061 protein azo1574","Other","Zm00001d045897"
"Zm00001d038362_T002",8,"Zm00001d038362_T002","Uracil phosphoribosyltransferase chloroplastic","Other","Zm00001d038362"
"Zm00001d021494_T001",8,"Zm00001d021494_T001","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein","Other","Zm00001d021494"
"Zm00001d028245_T001",8,"Zm00001d028245_T001","receptor-like protein kinase 4","Other","Zm00001d028245"
"Zm00001d012353_T001",8,"Zm00001d012353_T001","30S ribosomal protein S17 chloroplastic","NE plastid ribosome","Zm00001d012353"
"ZemaCp060.1",8,"ZemaCp060.1","rpl16","PE plastid ribosome","ZemaCp060.1"
"Zm00001d044250_T001",8,"Zm00001d044250_T001","Carbamoyl-phosphate synthase large chain chloroplastic","Other","Zm00001d044250"
"Zm00001d020139_T001",8,"Zm00001d020139_T001","Cysteine desulfurase mitochondrial","Other","Zm00001d020139"
"Zm00001d047566_T020",8,"Zm00001d047566_T020","Mitochondrial import receptor subunit TOM40-1",NA,"Zm00001d047566"
"Zm00001d028924_T001",8,"Zm00001d028924_T001","NifU-like protein 1 chloroplastic","Other","Zm00001d028924"
"Zm00001d048944_T002",8,"Zm00001d048944_T002","GTP-binding protein hflX  ",NA,"Zm00001d048944"
"Zm00001d030581_T001",8,"Zm00001d030581_T001","Pentatricopeptide repeat (PPR) superfamily protein","Other","Zm00001d030581"
"ZemaCp046.1",8,"ZemaCp046.1","rpl20","PE plastid ribosome","ZemaCp046.1"
"Zm00001d011993_T002",8,"Zm00001d011993_T002","50S ribosomal protein L27 chloroplastic","NE plastid ribosome","Zm00001d011993"
"Zm00001d042044_T001",8,"Zm00001d042044_T001","Cell division protein FtsY homolog chloroplastic","Other","Zm00001d042044"
"Zm00001d012042_T001",8,"Zm00001d012042_T001","Small ubiquitin-related modifier 2","Other","Zm00001d012042"
"Zm00001d039014_T001",8,"Zm00001d039014_T001","Splicing factor U2af small subunit A","Other","Zm00001d039014"
"Zm00001d001820_T001",8,"Zm00001d001820_T001"," protochlorophyllide reductase1","Other","Zm00001d001820"
"Zm00001d029490_T017",8,"Zm00001d029490_T017","E3 ubiquitin-protein ligase BRE1-like 2",NA,"Zm00001d029490"
"Zm00001d045043_T001",8,"Zm00001d045043_T001","Probable cinnamyl alcohol dehydrogenase 1","Other","Zm00001d045043"
"Zm00001d048550_T001",8,"Zm00001d048550_T001","Formyltetrahydrofolate deformylase  ","Other","Zm00001d048550"
"Zm00001d030549_T001",8,"Zm00001d030549_T001","Red chlorophyll catabolite reductase chloroplastic","Other","Zm00001d030549"
"Zm00001d026018_T002",8,"Zm00001d026018_T002"," calcium dependent protein kinase4",NA,"Zm00001d026018"
"Zm00001d012597_T004",8,"Zm00001d012597_T004","protein_coding","Other","Zm00001d012597"
"Zm00001d040290_T001",8,"Zm00001d040290_T001","Epoxide hydrolase 2  ","Other","Zm00001d040290"
"Zm00001d020686_T001",8,"Zm00001d020686_T001"," 1-aminocyclopropane-1-carboxylate oxidase2","Ethylene Biosynthesis","Zm00001d020686"
"Zm00001d028921_T004",8,"Zm00001d028921_T004","L-Aspartase-like family protein","Other","Zm00001d028921"
"Zm00001d035717_T001",8,"Zm00001d035717_T001","WAT1-related protein ","Other","Zm00001d035717"
"Zm00001d040311_T016",8,"Zm00001d040311_T016","5'-3' exoribonuclease 3",NA,"Zm00001d040311"
"Zm00001d046226_T007",8,"Zm00001d046226_T007"," multidrug resistance protein associated1",NA,"Zm00001d046226"
"Zm00001d006026_T001",8,"Zm00001d006026_T001","Lysine-specific demethylase JMJ30","Other","Zm00001d006026"
"Zm00001d042355_T001",8,"Zm00001d042355_T001","Protein root UVB sensitive 1 chloroplastic","Other","Zm00001d042355"
"Zm00001d011966_T004",8,"Zm00001d011966_T004","Ubiquitin carrier protein%3B Ubiquitin-conjugating enzyme E2-22 kDa  ","Other","Zm00001d011966"
"Zm00001d013074_T007",8,"Zm00001d013074_T007","Basic leucine zipper 25",NA,"Zm00001d013074"
"Zm00001d038189_T001",8,"Zm00001d038189_T001","FAD/NAD(P)-binding oxidoreductase family protein",NA,"Zm00001d038189"
"Zm00001d024203_T001",8,"Zm00001d024203_T001","Aspartate carbamoyltransferase chloroplastic","Other","Zm00001d024203"
"Zm00001d028173_T001",8,"Zm00001d028173_T001","FRIGIDA-like protein 1",NA,"Zm00001d028173"
"Zm00001d029865_T001",8,"Zm00001d029865_T001","Flavin-containing monooxygenase FMO GS-OX5","Other","Zm00001d029865"
"Zm00001d014085_T002",8,"Zm00001d014085_T002","Nucleotide binding protein  ",NA,"Zm00001d014085"
"ZemaCp063.1",8,"ZemaCp063.1","rps19","PE plastid ribosome","ZemaCp063.1"
"Zm00001d025267_T001",8,"Zm00001d025267_T001","High chlorophyll fluorescence106c  ","Other","Zm00001d025267"
"Zm00001d014153_T001",8,"Zm00001d014153_T001","50S ribosomal protein L28 chloroplastic","NE plastid ribosome","Zm00001d014153"
"Zm00001d018413_T017",8,"Zm00001d018413_T017","Molecular chaperone Hsp40/DnaJ family protein",NA,"Zm00001d018413"
"Zm00001d053747_T005",8,"Zm00001d053747_T005","ubiquitin fusion degradation 1",NA,"Zm00001d053747"
"Zm00001d053908_T001",8,"Zm00001d053908_T001","Cold shock protein 2","Other","Zm00001d053908"
"Zm00001d052062_T001",8,"Zm00001d052062_T001","Splicing factor%2C arginine/serine-rich 7%3B Splicing factor%2C arginine/serine-rich 7 isoform 1%3B Splicing factor%2C arginine/serine-rich 7 isoform 2  ","Other","Zm00001d052062"
"Zm00001d027845_T001",8,"Zm00001d027845_T001","Pentatricopeptide repeat-containing protein  mitochondrial","Other","Zm00001d027845"
"Zm00001d038673_T003",8,"Zm00001d038673_T003","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",NA,"Zm00001d038673"
"Zm00001d046539_T002",8,"Zm00001d046539_T002","26S protease regulatory subunit S10B homolog B","Other","Zm00001d046539"
"Zm00001d018525_T001",8,"Zm00001d018525_T001","Plant intracellular Ras-group-related LRR protein 9","Other","Zm00001d018525"
"Zm00001d014816_T001",8,"Zm00001d014816_T001","Senescence-associated protein DIN1  ","Other","Zm00001d014816"
"Zm00001d051664_T001",8,"Zm00001d051664_T001","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","Other","Zm00001d051664"
"Zm00001d011347_T001",8,"Zm00001d011347_T001","Autophagy 7%3B Autophagy-related 7  ","Other","Zm00001d011347"
"Zm00001d044224_T001",8,"Zm00001d044224_T001","protein_coding","Other","Zm00001d044224"
"Zm00001d013885_T001",8,"Zm00001d013885_T001","Probable plastid-lipid-associated protein 10 chloroplastic","Other","Zm00001d013885"
"Zm00001d053722_T001",8,"Zm00001d053722_T001","Cyclase  ","Other","Zm00001d053722"
"Zm00001d009803_T001",8,"Zm00001d009803_T001","NADH-ubiquinone oxidoreductase 10.5 kDa subunit%3B NADH-ubiquinone oxidoreductase subunit  ","Other","Zm00001d009803"
"Zm00001d006119_T001",8,"Zm00001d006119_T001","2Fe-2S ferredoxin-like superfamily protein","Other","Zm00001d006119"
"Zm00001d006251_T001",8,"Zm00001d006251_T001","Thioredoxin superfamily protein","Other","Zm00001d006251"
"Zm00001d022182_T001",8,"Zm00001d022182_T001","alpha/beta-Hydrolases superfamily protein",NA,"Zm00001d022182"
"ZemaCp039.1",8,"ZemaCp039.1","psbF","PhAPGs","ZemaCp039.1"
"Zm00001d016864_T001",8,"Zm00001d016864_T001","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-A","Other","Zm00001d016864"
"Zm00001d052494_T001",8,"Zm00001d052494_T001","Pyruvate kinase  ","Other","Zm00001d052494"
"Zm00001d048979_T001",8,"Zm00001d048979_T001","Putative sucrose-phosphate synthase family protein  ","Other","Zm00001d048979"
"Zm00001d027841_T002",8,"Zm00001d027841_T002","Ribulose-phosphate 3-epimerase  ","Other","Zm00001d027841"
"Zm00001d006496_T001",8,"Zm00001d006496_T001","Polyadenylate-binding protein RBP45C","Other","Zm00001d006496"
"Zm00001d053149_T002",8,"Zm00001d053149_T002","Digalactosyldiacylglycerol synthase 1 chloroplastic",NA,"Zm00001d053149"
"Zm00001d042314_T002",8,"Zm00001d042314_T002","CBS domain-containing protein CBSCBSPB1",NA,"Zm00001d042314"
"Zm00001d036563_T001",8,"Zm00001d036563_T001","SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein","Other","Zm00001d036563"
"Zm00001d053397_T001",8,"Zm00001d053397_T001","Zinc finger CCCH domain-containing protein 1","Other","Zm00001d053397"
